Année,Cause,Data qualifier,Juridiction,Jurisdiction,Niveau d'intervention,Number,Origine,Protection zone,Response category,Year,Zone de protection
2009,Unspecified,a,Parcs nationaux,National parks,Aucune,0,Indéterminée,Intensive,None,2009,Intensive
2010,Unspecified,a,Parcs nationaux,National parks,Aucune,0,Indéterminée,Intensive,None,2010,Intensive
2011,Unspecified,a,Parcs nationaux,National parks,Aucune,0,Indéterminée,Intensive,None,2011,Intensive
2012,Unspecified,a,Parcs nationaux,National parks,Aucune,0,Indéterminée,Intensive,None,2012,Intensive
2013,Unspecified,a,Parcs nationaux,National parks,Aucune,0,Indéterminée,Intensive,None,2013,Intensive
2014,Unspecified,a,Parcs nationaux,National parks,Aucune,0,Indéterminée,Intensive,None,2014,Intensive
2015,Unspecified,a,Parcs nationaux,National parks,Aucune,0,Indéterminée,Intensive,None,2015,Intensive
2016,Unspecified,a,Parcs nationaux,National parks,Aucune,0,Indéterminée,Intensive,None,2016,Intensive
2017,Unspecified,a,Parcs nationaux,National parks,Aucune,0,Indéterminée,Intensive,None,2017,Intensive
1990,Unspecified,n,Nouveau-Brunswick,New Brunswick,Aucune,,Indéterminée,Intensive,None,1990,Intensive
1991,Unspecified,n,Nouveau-Brunswick,New Brunswick,Aucune,,Indéterminée,Intensive,None,1991,Intensive
1992,Unspecified,n,Nouveau-Brunswick,New Brunswick,Aucune,,Indéterminée,Intensive,None,1992,Intensive
1993,Unspecified,n,Nouveau-Brunswick,New Brunswick,Aucune,,Indéterminée,Intensive,None,1993,Intensive
1994,Unspecified,n,Nouveau-Brunswick,New Brunswick,Aucune,,Indéterminée,Intensive,None,1994,Intensive
1995,Unspecified,n,Nouveau-Brunswick,New Brunswick,Aucune,,Indéterminée,Intensive,None,1995,Intensive
1996,Unspecified,n,Nouveau-Brunswick,New Brunswick,Aucune,,Indéterminée,Intensive,None,1996,Intensive
1997,Unspecified,n,Nouveau-Brunswick,New Brunswick,Aucune,,Indéterminée,Intensive,None,1997,Intensive
1998,Unspecified,n,Nouveau-Brunswick,New Brunswick,Aucune,,Indéterminée,Intensive,None,1998,Intensive
1999,Unspecified,n,Nouveau-Brunswick,New Brunswick,Aucune,,Indéterminée,Intensive,None,1999,Intensive
2000,Unspecified,n,Nouveau-Brunswick,New Brunswick,Aucune,,Indéterminée,Intensive,None,2000,Intensive
2001,Unspecified,n,Nouveau-Brunswick,New Brunswick,Aucune,,Indéterminée,Intensive,None,2001,Intensive
2002,Unspecified,n,Nouveau-Brunswick,New Brunswick,Aucune,,Indéterminée,Intensive,None,2002,Intensive
2003,Unspecified,n,Nouveau-Brunswick,New Brunswick,Aucune,,Indéterminée,Intensive,None,2003,Intensive
2004,Unspecified,n,Nouveau-Brunswick,New Brunswick,Aucune,,Indéterminée,Intensive,None,2004,Intensive
2005,Unspecified,n,Nouveau-Brunswick,New Brunswick,Aucune,,Indéterminée,Intensive,None,2005,Intensive
2006,Unspecified,n,Nouveau-Brunswick,New Brunswick,Aucune,,Indéterminée,Intensive,None,2006,Intensive
2007,Unspecified,n,Nouveau-Brunswick,New Brunswick,Aucune,,Indéterminée,Intensive,None,2007,Intensive
2008,Unspecified,n,Nouveau-Brunswick,New Brunswick,Aucune,,Indéterminée,Intensive,None,2008,Intensive
2009,Unspecified,n,Nouveau-Brunswick,New Brunswick,Aucune,,Indéterminée,Intensive,None,2009,Intensive
2010,Unspecified,u,Nouveau-Brunswick,New Brunswick,Aucune,,Indéterminée,Intensive,None,2010,Intensive
2011,Unspecified,u,Nouveau-Brunswick,New Brunswick,Aucune,,Indéterminée,Intensive,None,2011,Intensive
2012,Unspecified,u,Nouveau-Brunswick,New Brunswick,Aucune,,Indéterminée,Intensive,None,2012,Intensive
2013,Unspecified,u,Nouveau-Brunswick,New Brunswick,Aucune,,Indéterminée,Intensive,None,2013,Intensive
2014,Unspecified,u,Nouveau-Brunswick,New Brunswick,Aucune,,Indéterminée,Intensive,None,2014,Intensive
2015,Unspecified,u,Nouveau-Brunswick,New Brunswick,Aucune,,Indéterminée,Intensive,None,2015,Intensive
2016,Unspecified,u,Nouveau-Brunswick,New Brunswick,Aucune,,Indéterminée,Intensive,None,2016,Intensive
2017,Unspecified,p,Nouveau-Brunswick,New Brunswick,Aucune,0,Indéterminée,Intensive,None,2017,Intensive
1990,Unspecified,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Aucune,0,Indéterminée,Intensive,None,1990,Intensive
1991,Unspecified,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Aucune,0,Indéterminée,Intensive,None,1991,Intensive
1992,Unspecified,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Aucune,0,Indéterminée,Intensive,None,1992,Intensive
1993,Unspecified,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Aucune,0,Indéterminée,Intensive,None,1993,Intensive
1994,Unspecified,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Aucune,0,Indéterminée,Intensive,None,1994,Intensive
1995,Unspecified,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Aucune,0,Indéterminée,Intensive,None,1995,Intensive
1996,Unspecified,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Aucune,0,Indéterminée,Intensive,None,1996,Intensive
1997,Unspecified,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Aucune,0,Indéterminée,Intensive,None,1997,Intensive
1998,Unspecified,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Aucune,0,Indéterminée,Intensive,None,1998,Intensive
1999,Unspecified,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Aucune,0,Indéterminée,Intensive,None,1999,Intensive
2000,Unspecified,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Aucune,0,Indéterminée,Intensive,None,2000,Intensive
2001,Unspecified,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Aucune,0,Indéterminée,Intensive,None,2001,Intensive
2002,Unspecified,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Aucune,0,Indéterminée,Intensive,None,2002,Intensive
2003,Unspecified,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Aucune,0,Indéterminée,Intensive,None,2003,Intensive
2004,Unspecified,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Aucune,0,Indéterminée,Intensive,None,2004,Intensive
2005,Unspecified,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Aucune,0,Indéterminée,Intensive,None,2005,Intensive
2006,Unspecified,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Aucune,0,Indéterminée,Intensive,None,2006,Intensive
2007,Unspecified,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Aucune,0,Indéterminée,Intensive,None,2007,Intensive
2008,Unspecified,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Aucune,0,Indéterminée,Intensive,None,2008,Intensive
2009,Unspecified,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Aucune,0,Indéterminée,Intensive,None,2009,Intensive
2010,Unspecified,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Aucune,0,Indéterminée,Intensive,None,2010,Intensive
2011,Unspecified,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Aucune,0,Indéterminée,Intensive,None,2011,Intensive
2012,Unspecified,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Aucune,0,Indéterminée,Intensive,None,2012,Intensive
2013,Unspecified,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Aucune,0,Indéterminée,Intensive,None,2013,Intensive
2014,Unspecified,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Aucune,0,Indéterminée,Intensive,None,2014,Intensive
2015,Unspecified,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Aucune,0,Indéterminée,Intensive,None,2015,Intensive
2016,Unspecified,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Aucune,0,Indéterminée,Intensive,None,2016,Intensive
2017,Unspecified,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Aucune,0,Indéterminée,Intensive,None,2017,Intensive
1990,Unspecified,a,Nouvelle-Écosse,Nova Scotia,Aucune,0,Indéterminée,Intensive,None,1990,Intensive
1991,Unspecified,a,Nouvelle-Écosse,Nova Scotia,Aucune,0,Indéterminée,Intensive,None,1991,Intensive
1992,Unspecified,a,Nouvelle-Écosse,Nova Scotia,Aucune,0,Indéterminée,Intensive,None,1992,Intensive
1993,Unspecified,a,Nouvelle-Écosse,Nova Scotia,Aucune,0,Indéterminée,Intensive,None,1993,Intensive
1994,Unspecified,a,Nouvelle-Écosse,Nova Scotia,Aucune,0,Indéterminée,Intensive,None,1994,Intensive
1995,Unspecified,a,Nouvelle-Écosse,Nova Scotia,Aucune,0,Indéterminée,Intensive,None,1995,Intensive
1996,Unspecified,a,Nouvelle-Écosse,Nova Scotia,Aucune,0,Indéterminée,Intensive,None,1996,Intensive
1997,Unspecified,a,Nouvelle-Écosse,Nova Scotia,Aucune,0,Indéterminée,Intensive,None,1997,Intensive
1998,Unspecified,a,Nouvelle-Écosse,Nova Scotia,Aucune,0,Indéterminée,Intensive,None,1998,Intensive
1999,Unspecified,a,Nouvelle-Écosse,Nova Scotia,Aucune,0,Indéterminée,Intensive,None,1999,Intensive
2000,Unspecified,a,Nouvelle-Écosse,Nova Scotia,Aucune,0,Indéterminée,Intensive,None,2000,Intensive
2001,Unspecified,n,Nouvelle-Écosse,Nova Scotia,Aucune,,Indéterminée,Intensive,None,2001,Intensive
2002,Unspecified,n,Nouvelle-Écosse,Nova Scotia,Aucune,,Indéterminée,Intensive,None,2002,Intensive
2003,Unspecified,a,Nouvelle-Écosse,Nova Scotia,Aucune,0,Indéterminée,Intensive,None,2003,Intensive
2004,Unspecified,a,Nouvelle-Écosse,Nova Scotia,Aucune,0,Indéterminée,Intensive,None,2004,Intensive
2005,Unspecified,a,Nouvelle-Écosse,Nova Scotia,Aucune,0,Indéterminée,Intensive,None,2005,Intensive
2006,Unspecified,a,Nouvelle-Écosse,Nova Scotia,Aucune,0,Indéterminée,Intensive,None,2006,Intensive
2007,Unspecified,a,Nouvelle-Écosse,Nova Scotia,Aucune,0,Indéterminée,Intensive,None,2007,Intensive
2008,Unspecified,a,Nouvelle-Écosse,Nova Scotia,Aucune,0,Indéterminée,Intensive,None,2008,Intensive
2009,Unspecified,a,Nouvelle-Écosse,Nova Scotia,Aucune,0,Indéterminée,Intensive,None,2009,Intensive
2010,Unspecified,a,Nouvelle-Écosse,Nova Scotia,Aucune,0,Indéterminée,Intensive,None,2010,Intensive
2011,Unspecified,a,Nouvelle-Écosse,Nova Scotia,Aucune,0,Indéterminée,Intensive,None,2011,Intensive
2012,Unspecified,a,Nouvelle-Écosse,Nova Scotia,Aucune,0,Indéterminée,Intensive,None,2012,Intensive
2013,Unspecified,a,Nouvelle-Écosse,Nova Scotia,Aucune,0,Indéterminée,Intensive,None,2013,Intensive
2014,Unspecified,a,Nouvelle-Écosse,Nova Scotia,Aucune,0,Indéterminée,Intensive,None,2014,Intensive
2015,Unspecified,a,Nouvelle-Écosse,Nova Scotia,Aucune,0,Indéterminée,Intensive,None,2015,Intensive
2016,Unspecified,a,Nouvelle-Écosse,Nova Scotia,Aucune,0,Indéterminée,Intensive,None,2016,Intensive
2017,Unspecified,a,Nouvelle-Écosse,Nova Scotia,Aucune,0,Indéterminée,Intensive,None,2017,Intensive
1990,Unspecified,a,Ontario,Ontario,Aucune,0,Indéterminée,Intensive,None,1990,Intensive
1991,Unspecified,a,Ontario,Ontario,Aucune,0,Indéterminée,Intensive,None,1991,Intensive
1992,Unspecified,a,Ontario,Ontario,Aucune,0,Indéterminée,Intensive,None,1992,Intensive
1993,Unspecified,a,Ontario,Ontario,Aucune,1,Indéterminée,Intensive,None,1993,Intensive
1994,Unspecified,a,Ontario,Ontario,Aucune,0,Indéterminée,Intensive,None,1994,Intensive
1995,Unspecified,a,Ontario,Ontario,Aucune,0,Indéterminée,Intensive,None,1995,Intensive
1996,Unspecified,a,Ontario,Ontario,Aucune,0,Indéterminée,Intensive,None,1996,Intensive
1997,Unspecified,a,Ontario,Ontario,Aucune,0,Indéterminée,Intensive,None,1997,Intensive
1998,Unspecified,a,Ontario,Ontario,Aucune,1,Indéterminée,Intensive,None,1998,Intensive
1999,Unspecified,a,Ontario,Ontario,Aucune,0,Indéterminée,Intensive,None,1999,Intensive
2000,Unspecified,a,Ontario,Ontario,Aucune,1,Indéterminée,Intensive,None,2000,Intensive
2001,Unspecified,a,Ontario,Ontario,Aucune,1,Indéterminée,Intensive,None,2001,Intensive
2002,Unspecified,a,Ontario,Ontario,Aucune,0,Indéterminée,Intensive,None,2002,Intensive
2003,Unspecified,a,Ontario,Ontario,Aucune,0,Indéterminée,Intensive,None,2003,Intensive
2004,Unspecified,a,Ontario,Ontario,Aucune,0,Indéterminée,Intensive,None,2004,Intensive
2005,Unspecified,a,Ontario,Ontario,Aucune,0,Indéterminée,Intensive,None,2005,Intensive
2006,Unspecified,a,Ontario,Ontario,Aucune,0,Indéterminée,Intensive,None,2006,Intensive
2007,Unspecified,a,Ontario,Ontario,Aucune,0,Indéterminée,Intensive,None,2007,Intensive
2008,Unspecified,a,Ontario,Ontario,Aucune,0,Indéterminée,Intensive,None,2008,Intensive
2009,Unspecified,a,Ontario,Ontario,Aucune,0,Indéterminée,Intensive,None,2009,Intensive
2010,Unspecified,a,Ontario,Ontario,Aucune,0,Indéterminée,Intensive,None,2010,Intensive
2011,Unspecified,u,Ontario,Ontario,Aucune,,Indéterminée,Intensive,None,2011,Intensive
2012,Unspecified,a,Ontario,Ontario,Aucune,0,Indéterminée,Intensive,None,2012,Intensive
2013,Unspecified,u,Ontario,Ontario,Aucune,,Indéterminée,Intensive,None,2013,Intensive
2014,Unspecified,u,Ontario,Ontario,Aucune,,Indéterminée,Intensive,None,2014,Intensive
2015,Unspecified,u,Ontario,Ontario,Aucune,,Indéterminée,Intensive,None,2015,Intensive
2016,Unspecified,u,Ontario,Ontario,Aucune,,Indéterminée,Intensive,None,2016,Intensive
2017,Unspecified,a,Ontario,Ontario,Aucune,0,Indéterminée,Intensive,None,2017,Intensive
1990,Unspecified,a,Île-du-Prince-Édouard,Prince Edward Island,Aucune,0,Indéterminée,Intensive,None,1990,Intensive
1991,Unspecified,a,Île-du-Prince-Édouard,Prince Edward Island,Aucune,0,Indéterminée,Intensive,None,1991,Intensive
1992,Unspecified,a,Île-du-Prince-Édouard,Prince Edward Island,Aucune,0,Indéterminée,Intensive,None,1992,Intensive
1993,Unspecified,a,Île-du-Prince-Édouard,Prince Edward Island,Aucune,0,Indéterminée,Intensive,None,1993,Intensive
1994,Unspecified,a,Île-du-Prince-Édouard,Prince Edward Island,Aucune,0,Indéterminée,Intensive,None,1994,Intensive
1995,Unspecified,a,Île-du-Prince-Édouard,Prince Edward Island,Aucune,0,Indéterminée,Intensive,None,1995,Intensive
1996,Unspecified,a,Île-du-Prince-Édouard,Prince Edward Island,Aucune,0,Indéterminée,Intensive,None,1996,Intensive
1997,Unspecified,u,Île-du-Prince-Édouard,Prince Edward Island,Aucune,,Indéterminée,Intensive,None,1997,Intensive
1998,Unspecified,a,Île-du-Prince-Édouard,Prince Edward Island,Aucune,0,Indéterminée,Intensive,None,1998,Intensive
1999,Unspecified,u,Île-du-Prince-Édouard,Prince Edward Island,Aucune,,Indéterminée,Intensive,None,1999,Intensive
2000,Unspecified,u,Île-du-Prince-Édouard,Prince Edward Island,Aucune,,Indéterminée,Intensive,None,2000,Intensive
2001,Unspecified,u,Île-du-Prince-Édouard,Prince Edward Island,Aucune,,Indéterminée,Intensive,None,2001,Intensive
2002,Unspecified,n,Île-du-Prince-Édouard,Prince Edward Island,Aucune,,Indéterminée,Intensive,None,2002,Intensive
2003,Unspecified,n,Île-du-Prince-Édouard,Prince Edward Island,Aucune,,Indéterminée,Intensive,None,2003,Intensive
2004,Unspecified,n,Île-du-Prince-Édouard,Prince Edward Island,Aucune,,Indéterminée,Intensive,None,2004,Intensive
2005,Unspecified,n,Île-du-Prince-Édouard,Prince Edward Island,Aucune,,Indéterminée,Intensive,None,2005,Intensive
2006,Unspecified,n,Île-du-Prince-Édouard,Prince Edward Island,Aucune,,Indéterminée,Intensive,None,2006,Intensive
2007,Unspecified,n,Île-du-Prince-Édouard,Prince Edward Island,Aucune,,Indéterminée,Intensive,None,2007,Intensive
2008,Unspecified,n,Île-du-Prince-Édouard,Prince Edward Island,Aucune,,Indéterminée,Intensive,None,2008,Intensive
2009,Unspecified,n,Île-du-Prince-Édouard,Prince Edward Island,Aucune,,Indéterminée,Intensive,None,2009,Intensive
2010,Unspecified,n,Île-du-Prince-Édouard,Prince Edward Island,Aucune,,Indéterminée,Intensive,None,2010,Intensive
2011,Unspecified,n,Île-du-Prince-Édouard,Prince Edward Island,Aucune,,Indéterminée,Intensive,None,2011,Intensive
2012,Unspecified,n,Île-du-Prince-Édouard,Prince Edward Island,Aucune,,Indéterminée,Intensive,None,2012,Intensive
2013,Unspecified,n,Île-du-Prince-Édouard,Prince Edward Island,Aucune,,Indéterminée,Intensive,None,2013,Intensive
2014,Unspecified,n,Île-du-Prince-Édouard,Prince Edward Island,Aucune,,Indéterminée,Intensive,None,2014,Intensive
2015,Unspecified,n,Île-du-Prince-Édouard,Prince Edward Island,Aucune,,Indéterminée,Intensive,None,2015,Intensive
2016,Unspecified,e,Île-du-Prince-Édouard,Prince Edward Island,Aucune,0,Indéterminée,Intensive,None,2016,Intensive
2017,Unspecified,p,Île-du-Prince-Édouard,Prince Edward Island,Aucune,0,Indéterminée,Intensive,None,2017,Intensive
1990,Unspecified,a,Québec,Quebec,Aucune,0,Indéterminée,Intensive,None,1990,Intensive
1991,Unspecified,a,Québec,Quebec,Aucune,0,Indéterminée,Intensive,None,1991,Intensive
1992,Unspecified,a,Québec,Quebec,Aucune,0,Indéterminée,Intensive,None,1992,Intensive
1993,Unspecified,a,Québec,Quebec,Aucune,0,Indéterminée,Intensive,None,1993,Intensive
1994,Unspecified,a,Québec,Quebec,Aucune,0,Indéterminée,Intensive,None,1994,Intensive
1995,Unspecified,a,Québec,Quebec,Aucune,0,Indéterminée,Intensive,None,1995,Intensive
1996,Unspecified,a,Québec,Quebec,Aucune,0,Indéterminée,Intensive,None,1996,Intensive
1997,Unspecified,a,Québec,Quebec,Aucune,0,Indéterminée,Intensive,None,1997,Intensive
1998,Unspecified,a,Québec,Quebec,Aucune,0,Indéterminée,Intensive,None,1998,Intensive
1999,Unspecified,a,Québec,Quebec,Aucune,0,Indéterminée,Intensive,None,1999,Intensive
2000,Unspecified,a,Québec,Quebec,Aucune,0,Indéterminée,Intensive,None,2000,Intensive
2001,Unspecified,a,Québec,Quebec,Aucune,0,Indéterminée,Intensive,None,2001,Intensive
2002,Unspecified,a,Québec,Quebec,Aucune,0,Indéterminée,Intensive,None,2002,Intensive
2003,Unspecified,a,Québec,Quebec,Aucune,0,Indéterminée,Intensive,None,2003,Intensive
2004,Unspecified,a,Québec,Quebec,Aucune,0,Indéterminée,Intensive,None,2004,Intensive
2005,Unspecified,a,Québec,Quebec,Aucune,0,Indéterminée,Intensive,None,2005,Intensive
2006,Unspecified,a,Québec,Quebec,Aucune,0,Indéterminée,Intensive,None,2006,Intensive
2007,Unspecified,a,Québec,Quebec,Aucune,0,Indéterminée,Intensive,None,2007,Intensive
2008,Unspecified,a,Québec,Quebec,Aucune,0,Indéterminée,Intensive,None,2008,Intensive
2009,Unspecified,a,Québec,Quebec,Aucune,0,Indéterminée,Intensive,None,2009,Intensive
2010,Unspecified,a,Québec,Quebec,Aucune,0,Indéterminée,Intensive,None,2010,Intensive
2011,Unspecified,a,Québec,Quebec,Aucune,0,Indéterminée,Intensive,None,2011,Intensive
2012,Unspecified,a,Québec,Quebec,Aucune,0,Indéterminée,Intensive,None,2012,Intensive
2013,Unspecified,a,Québec,Quebec,Aucune,0,Indéterminée,Intensive,None,2013,Intensive
2014,Unspecified,a,Québec,Quebec,Aucune,0,Indéterminée,Intensive,None,2014,Intensive
2015,Unspecified,a,Québec,Quebec,Aucune,0,Indéterminée,Intensive,None,2015,Intensive
2016,Unspecified,a,Québec,Quebec,Aucune,0,Indéterminée,Intensive,None,2016,Intensive
2017,Unspecified,a,Québec,Quebec,Aucune,0,Indéterminée,Intensive,None,2017,Intensive
1990,Unspecified,a,Saskatchewan,Saskatchewan,Aucune,0,Indéterminée,Intensive,None,1990,Intensive
1991,Unspecified,a,Saskatchewan,Saskatchewan,Aucune,0,Indéterminée,Intensive,None,1991,Intensive
1992,Unspecified,a,Saskatchewan,Saskatchewan,Aucune,0,Indéterminée,Intensive,None,1992,Intensive
1993,Unspecified,a,Saskatchewan,Saskatchewan,Aucune,0,Indéterminée,Intensive,None,1993,Intensive
1994,Unspecified,a,Saskatchewan,Saskatchewan,Aucune,0,Indéterminée,Intensive,None,1994,Intensive
1995,Unspecified,a,Saskatchewan,Saskatchewan,Aucune,0,Indéterminée,Intensive,None,1995,Intensive
1996,Unspecified,a,Saskatchewan,Saskatchewan,Aucune,0,Indéterminée,Intensive,None,1996,Intensive
1997,Unspecified,a,Saskatchewan,Saskatchewan,Aucune,0,Indéterminée,Intensive,None,1997,Intensive
1998,Unspecified,u,Saskatchewan,Saskatchewan,Aucune,,Indéterminée,Intensive,None,1998,Intensive
1999,Unspecified,a,Saskatchewan,Saskatchewan,Aucune,0,Indéterminée,Intensive,None,1999,Intensive
2000,Unspecified,u,Saskatchewan,Saskatchewan,Aucune,,Indéterminée,Intensive,None,2000,Intensive
2001,Unspecified,u,Saskatchewan,Saskatchewan,Aucune,,Indéterminée,Intensive,None,2001,Intensive
2002,Unspecified,n,Saskatchewan,Saskatchewan,Aucune,,Indéterminée,Intensive,None,2002,Intensive
2003,Unspecified,n,Saskatchewan,Saskatchewan,Aucune,,Indéterminée,Intensive,None,2003,Intensive
2004,Unspecified,n,Saskatchewan,Saskatchewan,Aucune,,Indéterminée,Intensive,None,2004,Intensive
2005,Unspecified,n,Saskatchewan,Saskatchewan,Aucune,,Indéterminée,Intensive,None,2005,Intensive
2006,Unspecified,a,Saskatchewan,Saskatchewan,Aucune,0,Indéterminée,Intensive,None,2006,Intensive
2007,Unspecified,a,Saskatchewan,Saskatchewan,Aucune,0,Indéterminée,Intensive,None,2007,Intensive
2008,Unspecified,n,Saskatchewan,Saskatchewan,Aucune,,Indéterminée,Intensive,None,2008,Intensive
2009,Unspecified,n,Saskatchewan,Saskatchewan,Aucune,,Indéterminée,Intensive,None,2009,Intensive
2010,Unspecified,a,Saskatchewan,Saskatchewan,Aucune,0,Indéterminée,Intensive,None,2010,Intensive
2011,Unspecified,a,Saskatchewan,Saskatchewan,Aucune,0,Indéterminée,Intensive,None,2011,Intensive
2012,Unspecified,a,Saskatchewan,Saskatchewan,Aucune,13,Indéterminée,Intensive,None,2012,Intensive
2013,Unspecified,a,Saskatchewan,Saskatchewan,Aucune,0,Indéterminée,Intensive,None,2013,Intensive
2014,Unspecified,a,Saskatchewan,Saskatchewan,Aucune,0,Indéterminée,Intensive,None,2014,Intensive
2015,Unspecified,a,Saskatchewan,Saskatchewan,Aucune,0,Indéterminée,Intensive,None,2015,Intensive
2016,Unspecified,a,Saskatchewan,Saskatchewan,Aucune,0,Indéterminée,Intensive,None,2016,Intensive
2017,Unspecified,a,Saskatchewan,Saskatchewan,Aucune,0,Indéterminée,Intensive,None,2017,Intensive
1990,Unspecified,a,Yukon,Yukon,Aucune,0,Indéterminée,Intensive,None,1990,Intensive
1991,Unspecified,a,Yukon,Yukon,Aucune,0,Indéterminée,Intensive,None,1991,Intensive
1992,Unspecified,a,Yukon,Yukon,Aucune,0,Indéterminée,Intensive,None,1992,Intensive
1993,Unspecified,a,Yukon,Yukon,Aucune,0,Indéterminée,Intensive,None,1993,Intensive
1994,Unspecified,a,Yukon,Yukon,Aucune,0,Indéterminée,Intensive,None,1994,Intensive
1995,Unspecified,a,Yukon,Yukon,Aucune,0,Indéterminée,Intensive,None,1995,Intensive
1996,Unspecified,a,Yukon,Yukon,Aucune,0,Indéterminée,Intensive,None,1996,Intensive
1997,Unspecified,a,Yukon,Yukon,Aucune,0,Indéterminée,Intensive,None,1997,Intensive
1998,Unspecified,a,Yukon,Yukon,Aucune,0,Indéterminée,Intensive,None,1998,Intensive
1999,Unspecified,a,Yukon,Yukon,Aucune,0,Indéterminée,Intensive,None,1999,Intensive
2000,Unspecified,a,Yukon,Yukon,Aucune,0,Indéterminée,Intensive,None,2000,Intensive
2001,Unspecified,a,Yukon,Yukon,Aucune,0,Indéterminée,Intensive,None,2001,Intensive
2002,Unspecified,a,Yukon,Yukon,Aucune,0,Indéterminée,Intensive,None,2002,Intensive
2003,Unspecified,a,Yukon,Yukon,Aucune,0,Indéterminée,Intensive,None,2003,Intensive
2004,Unspecified,a,Yukon,Yukon,Aucune,0,Indéterminée,Intensive,None,2004,Intensive
2005,Unspecified,a,Yukon,Yukon,Aucune,0,Indéterminée,Intensive,None,2005,Intensive
2006,Unspecified,a,Yukon,Yukon,Aucune,0,Indéterminée,Intensive,None,2006,Intensive
2007,Unspecified,a,Yukon,Yukon,Aucune,0,Indéterminée,Intensive,None,2007,Intensive
2008,Unspecified,a,Yukon,Yukon,Aucune,0,Indéterminée,Intensive,None,2008,Intensive
2009,Unspecified,a,Yukon,Yukon,Aucune,0,Indéterminée,Intensive,None,2009,Intensive
2010,Unspecified,a,Yukon,Yukon,Aucune,0,Indéterminée,Intensive,None,2010,Intensive
2011,Unspecified,a,Yukon,Yukon,Aucune,0,Indéterminée,Intensive,None,2011,Intensive
2012,Unspecified,a,Yukon,Yukon,Aucune,0,Indéterminée,Intensive,None,2012,Intensive
2013,Unspecified,a,Yukon,Yukon,Aucune,0,Indéterminée,Intensive,None,2013,Intensive
2014,Unspecified,u,Yukon,Yukon,Aucune,,Indéterminée,Intensive,None,2014,Intensive
2015,Unspecified,u,Yukon,Yukon,Aucune,,Indéterminée,Intensive,None,2015,Intensive
2016,Unspecified,u,Yukon,Yukon,Aucune,,Indéterminée,Intensive,None,2016,Intensive
2017,Unspecified,u,Yukon,Yukon,Aucune,,Indéterminée,Intensive,None,2017,Intensive
1990,Unspecified,a,Territoires du Nord-Ouest,Northwest Territories,Aucune,0,Indéterminée,Intensive,None,1990,Intensive
1991,Unspecified,a,Territoires du Nord-Ouest,Northwest Territories,Aucune,0,Indéterminée,Intensive,None,1991,Intensive
1992,Unspecified,a,Territoires du Nord-Ouest,Northwest Territories,Aucune,0,Indéterminée,Intensive,None,1992,Intensive
1993,Unspecified,a,Territoires du Nord-Ouest,Northwest Territories,Aucune,0,Indéterminée,Intensive,None,1993,Intensive
1994,Unspecified,a,Territoires du Nord-Ouest,Northwest Territories,Aucune,0,Indéterminée,Intensive,None,1994,Intensive
1995,Unspecified,a,Territoires du Nord-Ouest,Northwest Territories,Aucune,0,Indéterminée,Intensive,None,1995,Intensive
1996,Unspecified,a,Territoires du Nord-Ouest,Northwest Territories,Aucune,0,Indéterminée,Intensive,None,1996,Intensive
1997,Unspecified,a,Territoires du Nord-Ouest,Northwest Territories,Aucune,0,Indéterminée,Intensive,None,1997,Intensive
1998,Unspecified,a,Territoires du Nord-Ouest,Northwest Territories,Aucune,0,Indéterminée,Intensive,None,1998,Intensive
1999,Unspecified,a,Territoires du Nord-Ouest,Northwest Territories,Aucune,0,Indéterminée,Intensive,None,1999,Intensive
2000,Unspecified,a,Territoires du Nord-Ouest,Northwest Territories,Aucune,0,Indéterminée,Intensive,None,2000,Intensive
2001,Unspecified,a,Territoires du Nord-Ouest,Northwest Territories,Aucune,0,Indéterminée,Intensive,None,2001,Intensive
